,time,open,high,low,close,adjcp,volume,tic,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,split_val
28,2022-05-20,150.9499969482422,150.9499969482422,147.64999389648438,149.60000610351562,149.60000610351562,17841739.0,NTPC.NS,0.0,,,,,,149.60000610351562,149.60000610351562,29.43000030517578,1.0
29,2022-05-20,161.64999389648438,163.8000030517578,160.10000610351562,161.89999389648438,161.89999389648438,7235654.0,ONGC.NS,0.0,,,,,,161.89999389648438,161.89999389648438,29.43000030517578,1.0
30,2022-05-20,230.75,233.10000610351562,226.75,229.0500030517578,229.0500030517578,11361211.0,POWERGRID.NS,0.0,,,,,,229.0500030517578,229.0500030517578,29.43000030517578,1.0
31,2022-05-20,2512.5,2644.39990234375,2502.0,2624.449951171875,2624.449951171875,10057508.0,RELIANCE.NS,0.0,,,,,,2624.449951171875,2624.449951171875,29.43000030517578,1.0
32,2022-05-20,454.8500061035156,464.0,454.1499938964844,462.3999938964844,462.3999938964844,13596860.0,SBIN.NS,0.0,,,,,,462.3999938964844,462.3999938964844,29.43000030517578,1.0
33,2022-05-20,22670.0,23975.0,21820.150390625,22001.19921875,22001.19921875,50620.0,SHREECEM.NS,0.0,,,,,,22001.19921875,22001.19921875,29.43000030517578,1.0
34,2022-05-20,893.0,917.7000122070312,889.0499877929688,915.6500244140625,915.6500244140625,2877917.0,SUNPHARMA.NS,0.0,,,,,,915.6500244140625,915.6500244140625,29.43000030517578,1.0
35,2022-05-20,735.0,742.75,731.4000244140625,739.5999755859375,739.5999755859375,1205301.0,TATACONSUM.NS,0.0,,,,,,739.5999755859375,739.5999755859375,29.43000030517578,1.0
36,2022-05-20,410.0,421.3999938964844,410.0,418.0,418.0,23504236.0,TATAMOTORS.NS,0.0,,,,,,418.0,418.0,29.43000030517578,1.0
37,2022-05-20,1162.3499755859375,1178.4000244140625,1141.199951171875,1170.5999755859375,1170.5999755859375,6552750.0,TATASTEEL.NS,0.0,,,,,,1170.5999755859375,1170.5999755859375,29.43000030517578,1.0
38,2022-05-20,3310.0,3313.89990234375,3270.050048828125,3293.0,3293.0,3065125.0,TCS.NS,0.0,,,,,,3293.0,3293.0,29.43000030517578,1.0
